Name,Gender,Department,Salary,Location,Rating
Adi Seawright,Female,Marketing,48590,Kaduna,Very Poor
Eward Astlett,Male,Engineering,41670,Lagos,Average
Chauncey Schild,Female,Support,107340,Lagos,Very Good
Larissa Ingledow,Male,Research and Development,62280,Kaduna,Not Rated
Orton Livick,Male,Services,37920,Abuja,Not Rated
Jolynn Edkins,Female,Support,,Kaduna,Average
Beverie Moffet,Female,Support,75970,Kaduna,Average
Katey Cadany,Male,Services,92010,Abuja,Very Poor
Alida Welman,Male,Human Resources,69860,Lagos,Poor
Nicole Blowfelde,Female,Training,59560,Kaduna,Very Good
Kelley Rounds,Female,Engineering,114810,Kaduna,Average
Felice McMurty,Female,Product Management,66870,Abuja,Not Rated
Layton Kierans,Male,Human Resources,113790,Kaduna,Very Poor
Hedwiga Ingarfield,Female,Legal,38250,Kaduna,Average
Frasquito Mosley,,Support,48090,Abuja,Not Rated
Amandy Jope,Male,Accounting,99630,Abuja,Average
Tarrah Wordsworth,Female,Product Management,86340,Abuja,Poor
Fairfax Wallsam,,Sales,88590,Abuja,Average
Chelsea Itzak,Male,Support,61100,Kaduna,Average
Craggie Whistlecraft,Male,Product Management,71240,Abuja,Average
Faina Durand,Male,Sales,114650,Kaduna,Very Poor
Joella Maevela,Female,Sales,76210,Kaduna,Good
Virginia McConville,Female,Human Resources,76900,Abuja,Very Good
Candy Aindrais,Female,Business Development,116590,Lagos,Very Good
Allene Gobbet,Female,Engineering,78390,Abuja,Average
Ruthanne Beadnell,Female,Accounting,103610,Kaduna,Poor
Damien Netley,Male,Engineering,98110,Abuja,Good
Rasia Fryatt,Female,Human Resources,33960,Lagos,Not Rated
Bev Lashley,Male,Business Development,112110,Kaduna,Not Rated
Curtice Advani,Male,Product Management,59810,Lagos,Good
Madge McCloughen,,Training,91310,Kaduna,Average
Frasier Straw,Male,Business Development,71370,Lagos,Average
Dean Biggam,Female,Training,71570,Abuja,Not Rated
Anni Dinse,Male,Product Management,119670,Lagos,Not Rated
Husein Augar,Female,Marketing,67910,Kaduna,Average
Shaylyn Ransbury,Female,Support,100370,Abuja,Average
Christoph Stretton,Female,Business Development,90240,Abuja,Poor
Jordain Cyster,Female,Engineering,75870,Kaduna,Average
Malory Biles,Female,Training,58740,Kaduna,Not Rated
Adey Ryal,Female,Legal,32500,Lagos,Average
